topic_id,cluster_id
-1,-1
0,19
1,2
2,23
3,13
4,4
5,0
6,18
7,7
8,19
9,20
10,12
11,3
12,17
13,25
14,0
15,24
16,23
17,7
18,4
19,3
20,1
21,23
22,6
23,17
24,14
25,12
26,7
27,6
28,15
29,26
30,11
31,3
32,3
33,22
34,13
35,25
36,17
37,24
38,3
39,9
40,9
41,4
42,3
43,20
44,6
45,8
46,16
47,8
48,0
49,18
50,0
51,19
52,11
53,11
54,0
55,8
56,8
57,25
58,10
59,4
60,2
61,10
62,5
63,14
64,11
65,14
66,23
67,13
68,15
69,15
70,14
71,4
72,5
73,1
74,7
75,19
76,8
77,14
78,14
79,4
80,19
81,21
82,20
83,0
84,0
85,7
86,11
87,7
88,7
89,12
90,8
91,10
92,4
93,14
94,10
95,15
96,11
97,16
98,2
99,17
100,14
101,0
102,21
103,10
104,26
105,2
106,13
107,20
108,6
109,17
110,12
111,7
112,18
113,1
114,20
115,2
116,0
117,1
118,5
119,7
120,0
121,23
122,2
123,2
124,22
125,9
126,18
127,12
128,17
129,2
130,19
131,21
132,19
133,10
134,0
135,12
136,5
137,22
138,0
139,8
140,0
141,17
142,5
143,0
144,8
145,5
146,9
147,14
148,0
149,15
150,0
151,15
152,26
153,5
154,20
155,13
156,11
157,26
158,0
159,6
160,10
161,1
162,5
163,16
164,8
165,6
166,0
167,25
168,10
169,20
170,4
171,16
172,7
173,3
174,1
175,12
176,3
177,24
178,2
179,14
180,0
181,20
182,13
183,5
184,19
185,0
186,4
187,22
188,8
189,14
190,13
191,0
192,13
193,17
194,11
195,0
196,3
197,3
198,25
199,9
200,15
201,3
202,3
203,6
204,20
205,12
206,4
207,26
208,19
209,17
210,1
211,0
212,14
213,12
214,13
215,17
216,14
217,26
218,1
219,12
220,16
221,10
222,8
223,4
224,6
225,23
226,0
227,10
228,24
229,13
230,24
231,1
232,7
233,9
234,20
235,13
236,14
237,26
238,15
239,15
240,8
241,1
242,9
243,5
244,10
245,20
246,6
247,4
248,8
249,17
250,12
251,0
252,11
253,21
254,18
255,9
256,14
257,7
258,17
259,22
260,21
261,0
262,4
263,19
264,0
265,2
266,11
267,12
268,3
269,24
270,6
271,0
272,25
273,6
274,8
275,13
276,2
277,26
278,6
279,1
280,4
281,24
282,10
283,0
284,23
285,4
286,3
287,4
288,12
289,0
290,13
291,25
292,12
293,18
294,2
295,10
296,12
297,8
298,14
299,7
300,25
301,7
302,3
303,11
304,11
305,5
306,0
307,19
308,19
309,0
310,20
311,0
312,14
313,16
314,21
315,6
316,1
317,7
318,18
319,17
320,23
321,4
322,17
323,13
324,9
325,22
326,3
327,12
328,9
329,23
330,19
331,15
332,17
333,1
334,0
335,19
336,4
337,12
338,0
339,18
340,23
341,12
342,1
343,1
344,23
345,10
346,13
347,19
348,14
349,0
350,16
351,16
352,11
353,9
354,1
355,11
356,23
357,7
358,15
