convo_id,avg_out_degree,n_nodes,avg_how_enjoyable,conv_length_min,n_participants,sex_pair
0020a0c5-1658-4747-99c1-2839e736b481,1.5625,16,8.5,43.0,2,FM
002d68da-7738-4177-89d9-d72ae803e0e4,1.1111111111111112,9,8.0,34.0,2,FM
00411458-8275-4b92-a000-d52187f03604,1.4285714285714286,7,7.5,35.0,2,FM
00ae2f18-9599-4df6-8e3a-6936c86b97f0,1.375,8,8.0,30.0,2,FF
00b410f7-8b5f-4404-8433-0fb8c4be8f62,1.3333333333333333,9,7.0,30.0,2,FM
00deb2e5-cf7f-4a5c-a8db-7fc335634ad6,1.8571428571428572,14,8.0,45.0,2,FF
010a1b2a-7b69-4245-807f-d94eb6aa165c,1.1111111111111112,9,8.0,25.0,2,FM
012dd705-ee62-49f6-8016-cf2e3cc066e4,1.75,12,9.0,58.0,2,FF
014a3227-9b4c-4f23-ad5b-8325235301ed,1.8571428571428572,7,7.0,36.0,2,FM
015301b4-a132-4877-8bec-557e9b99a01c,1.4545454545454546,11,7.5,27.0,2,FF
0159f2d4-f6db-46f8-b7c6-96a3df97b246,1.375,8,6.5,28.0,2,MM
01849238-f5f0-487e-bca4-7b4fe0c9625c,1.8888888888888888,9,8.5,31.0,2,FM
01a4c01c-cf0e-4f37-ab2b-641bb604af30,1.4,10,5.5,35.0,2,FM
01a62310-06c3-4b69-9d75-50f1e2f1dabf,1.4166666666666667,12,6.0,26.0,2,FF
01b9ad1a-cf5c-466b-b227-dfe3a36d1359,1.3571428571428572,14,7.5,28.0,2,FF
01d74df6-2a6f-4c0a-b2c8-6aa4ac78ab18,1.5,8,8.0,33.0,2,FF
01e64778-2ce4-482d-814c-08360b12c88a,1.0,6,7.5,26.0,2,FM
0203bb21-da17-416b-8e2f-018b99689616,1.2,10,7.5,28.0,2,FF
02053f7c-a002-4797-9139-037798747eb2,1.1111111111111112,9,6.5,32.0,2,FF
021cae92-8043-4ef1-b115-47b539bad870,1.0,4,8.0,25.0,2,MM
0235bac2-3469-447b-adae-e39559adfa4a,1.2222222222222223,9,6.0,26.0,2,MM
024c9be7-c98d-4a2e-b4a9-7884d0b0f626,1.3,10,8.5,26.5,2,FM
026c91ab-94c5-482c-aba7-42e83a79c423,1.3,10,7.5,26.0,2,FM
0278950b-a7e0-4e15-8a2b-1629ff1b17ba,1.4444444444444444,9,7.0,0.0,2,UNK
02e02af3-8df5-4e65-a1b1-bb1a5ca44879,1.1,10,8.0,30.0,2,FM
02f3959f-e462-42c7-b92e-9ef5a991b98e,1.2222222222222223,9,4.5,26.0,2,FM
030c76ab-9e19-4b78-9a7a-86cd7ba8472a,1.25,8,7.0,0.0,2,UNK
